iter	Passed	Remaining
0	13	5139
1	17	3184
2	21	2626
3	25	2331
4	28	2113
5	31	1941
6	34	1825
7	37	1719
8	38	1586
9	40	1475
10	43	1430
11	46	1423
12	51	1429
13	56	1469
14	58	1416
15	62	1399
16	63	1344
17	66	1315
18	67	1270
19	70	1248
20	71	1206
21	72	1166
22	73	1131
23	76	1116
24	77	1089
25	79	1063
26	80	1040
27	82	1022
28	83	1002
29	85	991
30	87	971
31	91	987
32	95	992
33	97	976
34	98	961
35	100	944
36	102	936
37	103	924
38	106	919
39	109	921
40	113	926
41	117	932
42	121	942
43	125	943
44	127	937
45	128	921
46	130	914
47	132	906
48	134	899
49	135	886
50	137	874
51	138	865
52	140	857
53	143	855
54	144	844
55	146	836
56	148	830
57	149	820
58	151	813
59	154	811
60	155	804
61	157	799
62	159	791
63	161	785
64	163	780
65	164	773
66	165	765
67	167	760
68	169	753
69	171	750
70	174	749
71	176	746
72	180	748
73	182	744
74	183	737
75	185	730
76	186	724
77	187	717
78	189	711
79	191	708
80	193	703
81	194	698
82	196	694
83	198	689
84	199	683
85	201	678
86	203	675
87	206	674
88	208	672
89	210	668
90	212	664
91	213	660
92	215	655
93	216	650
94	218	645
95	219	641
96	221	637
97	223	633
98	225	631
99	227	626
100	228	622
101	231	621
102	233	618
103	238	622
104	239	618
105	240	613
106	242	608
107	243	604
108	245	601
109	247	597
110	248	594
111	250	589
112	251	585
113	253	581
114	254	577
115	256	573
116	257	570
117	259	567
118	262	566
119	264	563
120	265	560
121	267	557
122	269	553
123	270	550
124	272	546
125	273	542
126	275	540
127	278	539
128	281	538
129	282	534
130	285	534
131	288	533
132	290	531
133	293	530
134	301	537
135	302	534
136	304	530
137	305	527
138	307	524
139	309	521
140	310	517
141	311	514
142	313	510
143	314	507
144	316	503
145	318	501
146	319	498
147	322	496
148	324	494
149	329	496
150	331	493
151	333	491
152	334	488
153	336	484
154	337	481
155	339	478
156	340	474
157	342	472
158	344	469
159	349	471
160	353	471
161	357	472
162	360	471
163	364	470
164	365	467
165	366	464
166	368	461
167	370	459
168	373	457
169	377	457
170	381	457
171	383	455
172	385	452
173	386	448
174	388	446
175	391	445
176	393	442
177	396	440
178	399	439
179	402	438
180	405	437
181	407	434
182	409	431
183	412	430
184	413	427
185	415	424
186	417	421
187	423	423
188	425	420
189	428	419
190	430	417
191	433	415
192	437	414
193	439	412
194	441	409
195	443	406
196	444	403
197	447	402
198	448	399
199	450	396
200	451	393
201	452	390
202	454	386
203	455	384
204	457	381
205	459	379
206	461	376
207	463	374
208	465	371
209	467	369
210	468	366
211	470	363
212	472	361
213	473	358
214	475	355
215	477	353
216	479	351
217	480	348
218	482	345
219	483	342
220	485	340
221	487	338
222	490	336
223	492	334
224	495	332
225	496	329
226	498	327
227	499	324
228	500	321
229	502	318
230	503	316
231	505	313
232	507	311
233	509	309
234	510	306
235	512	303
236	514	301
237	515	299
238	517	296
239	519	294
240	521	292
241	524	290
242	526	288
243	527	285
244	528	282
245	530	280
246	531	277
247	533	275
248	534	272
249	536	270
250	537	267
251	539	265
252	540	262
253	542	260
254	543	258
255	546	256
256	548	254
257	550	251
258	552	249
259	555	247
260	556	245
261	558	243
262	560	240
263	562	238
264	563	235
265	564	233
266	566	231
267	567	228
268	569	226
269	570	224
270	573	222
271	575	219
272	584	220
273	586	218
274	587	215
275	589	213
276	590	211
277	591	208
278	593	206
279	595	204
280	596	201
281	597	199
282	599	197
283	600	194
284	602	192
285	603	189
286	605	187
287	606	185
288	608	183
289	610	181
290	612	178
291	614	176
292	615	174
293	616	172
294	618	169
295	620	167
296	622	165
297	624	163
298	625	161
299	627	158
300	628	156
301	629	154
302	632	152
303	635	150
304	636	148
305	638	146
306	641	144
307	643	142
308	645	139
309	646	137
310	648	135
311	649	133
312	650	131
313	652	128
314	653	126
315	654	124
316	656	122
317	657	119
318	658	117
319	659	115
320	661	113
321	662	111
322	664	109
323	666	106
324	667	104
325	668	102
326	669	100
327	670	98
328	671	95
329	675	94
330	678	92
331	680	90
332	681	88
333	682	85
334	684	83
335	685	81
336	687	79
337	688	77
338	690	75
339	691	73
340	693	71
341	694	69
342	696	67
343	698	64
344	700	62
345	702	60
346	703	58
347	705	56
348	707	54
349	708	52
350	709	50
351	711	48
352	712	46
353	713	44
354	714	42
355	716	40
356	718	38
357	721	36
358	723	34
359	725	32
360	726	30
361	728	28
362	730	26
363	731	24
364	732	22
365	734	20
366	735	18
367	736	16
368	737	13
369	739	11
370	739	9
371	740	7
372	741	5
373	743	3
374	744	1
375	745	0
